planet_id,sign_id,desc
0,0,"立ち止まらない自由人；
太陽が牡羊座に位置する人は、勇気と決断力があり、バイタリティも十分。自分の考えを遠著なく主張し、常にトップを目指す自由人です。開拓精神も王政で、人生の可能性を果敢に切り開いていくタイプ。泳ぎ続けていないと死んでしまうマグロのように、新しいことや刺激を求めて立ち止まることなく進むのです。
反面、自我が強いため、周囲の空気を読まず、他人の意見を受け入れず、顰蹙を買うことも。人の意見にも耳を傾けるといいでしょう。"
0,1,"五感に優れたのんびり屋；
太陽が牡牛座にある場合、ゆっくりながら着実に物事をこなしていくタイプに。冒険より安定を求めるため、何事にも慎重。また、五感に優れ、その感覚を楽しむことに人生の喜びを感じます。それを活かした職業に就くと活躍できるでしょう。
快楽と美も牡牛座が支配するもの。心地よく安定した生活を望みます。美的センスもある一方で物欲や所有欲も強いため、美しいものに囲まれることを求めるでしょう。
頑固なのも特徴ですが、それは攻撃的ではなく抵抗的です。"
0,2,"知的で多才な話術士；
太陽が双子座の人は、好奇心旺盛で聡明。目に映るあらゆるものを知りたい、経験したいタイプ。新しいものに興味がわくと、今までのものをあっさりと捨て、関心ごとを渡り歩くため、その知識と経験は広く浅い一方、持続力に欠けるのも特徴。
また、経験で得たことを誰かに伝えたいという願望があります。そのため、コミュニケーション能力も高いでしょう。
二面性があり、何かに夢中になっていても、心のどこかに醒めた自分がいて、ブレーキをかけるタイプです。"
0,3,"心優しき模倣の天才；
月を守護性とする蟹座は、自己主張力が弱め。感受性が強く、周りの環境や周囲のムードに敏感に反応します。自己防衛本能が働き、「守られたい」という気持ちが強まるでしょう。そのため、絶対的に守ってくれる家族や親しい友人に愛着を持つのです。蟹座自身も寛大な人柄を持っていて、大切な人に献身的。家族を大切にし、自分の生活を侵されることを嫌います。
また、模倣力と記憶力に優れ、職務にも忠実。とくにサポート役としてその実力を発揮するでしょう。"
0,4,"目立ちたがりの王者；
獅子座の守護性は太陽。ゆえに、太陽が持つパワーを余すことなく発揮します。自分の個性を十二分に発揮することにこの上ない喜びを感じるタイプ。自己顕示欲が強く、人の上に立つ資質もあります。認めてもらいたいという願望が強いため、派手な外見や行動に出るのです。
獅子座の太陽は心臓を表すため、いつでも自分が中心にいたいと望みます。プライドが高いため、それが叶わないとひねくれがちなので注意して。ほめられることも、賞賛されることも大好きでしょう。"
0,5,"分析好きな職人；
実際的な知的能力と実務能力に優れたタイプです。観察力や分析力も高く、""自分が正しい""ことにこだわりを持っています。それゆえ、間違っていると認識したら、相手が誰であろうと厳しく批判します。正しい人間だと認めてもらいたい気持ちが根底にあるからです。
潔癖症で几帳面。俯瞰ではなく、物事の見方がピンポイントに。そのため、この配置には職人や名人が多いです。心も身体も敏感なので、日課や食生活のバランスが崩れないようにすると◎"
0,6,"美しき社交家；
太陽が天秤座の人は、社交的で、人との調和を大切にします。理性と感情のバランスがとれていて、公平な判断力、和を尊ぶ精神の持ち主です。説得力があり、駆け引きも上手。平和主義者で、正反対の意見を比較検討し、中立な立場で巧妙に場を取り持つタイプです。
とくに、自分にないものを持った人や正反対のタイプと関わるほど、より器の大きい人間に。ただし、自分の欲求を抑えてストレスを溜めやすい傾向が。
また、優れた審美眼を持ち、美的センスも抜群です。"
0,7,"熱い情熱を秘めた探求者；
太陽が蠍座にある人は、激しい感情と熱い情熱を内に秘めたタイプ。秘密主義で、破壊的な改革力を秘めたまま潜行、爆発すれば周囲の事情をいっぺんさせてしまうほどの究極の力を持っています。強い目的意識を持ち、類稀な集中力と忍耐力で目標に向かいます。
洞察力に優れ、人の心の裏側を見透かす、核心をつくなどもお手のもの。この人に隠し事はできません。
一方で、こだわりが強く、頑固な一面も。猜疑心が強く、嫉妬深いのも特徴です。"
0,8,"ポジティブなチャレンジャー；
太陽・射手座は陽気で楽天的。オープンで率直で、正義感が強い人。おおらかなので快楽主義者に見えますが、実は精神的向上を強く求めていて、学問好き。いつも高度なものを追いかけます。視野も広く、興味の対象も多岐に渡りますが、関心事が移ろいやすく、結果的に広範な分野で活動することに。
縛られるのが嫌いで、節制も苦手。野外を好み、冒険も恐れません。ただし、楽天性から誇大妄想となる場合があります。
落ち着きがなく、無責任な行動をとりがちなので注意を。"
0,9,"責任感の強い野心家；
真面目で思慮深く、責任感が強い人。確実性と安定性を求めるため、コツコツと地道な努力を重ねます。誇りと野心を抱き、常に上を目指しているのです。加えて目的達成への執着心が強く、大きな試練にも耐え抜き、決して諦めません。社会的評価が気になり、自分を追い込みがちです。
倫理観を重視するあまり、他人に厳しくなりやすく、人生を悲観的にとらえる傾向も。一方で、経済観念と優れた実務能力を持っていて、山羊座を成功へと導きます。"
0,10,"友愛精神あふれる変人；
既存の価値観に縛られないユニークな発想力の持ち主。オリジナリティあふれたアイデアで周囲をあっと言わせることも多いでしょう。極めて聡明で天才肌。突拍子のなさから""変人""の異名も。独立心が高く、社会的ステイタスにこだわらないので、我が道をいきます。
また、友愛精神にあふれた人道主義者です。個人主義に見えますが、連帯意識が強く、仲間との共鳴を大事にします。論理志向のため、感情をストレートに出すことが苦手。そのため天邪鬼になりがちです。"
0,11,"つかみどころのない夢想家；
太陽が魚座に位置する人は、感受性が強く、同情心に溢れた博愛主義者。純粋で、困っている人や弱者を助けようという気持ちが強く、自己犠牲を伴うこともあります。また、強引に来られると自分を失い、流されてしまう傾向も強いです。
イマジネーション豊かで創作力に優れますが、夢見がちで、常に幻想を追いかけるため、現実的認識に欠けるところがあります。そのため周りには、つかみどころのない人と映りますが、親しい人の前では無邪気さと愛嬌で許されるタイプです。"
1,0,"無防備な冒険家；
自分の欲求に素直に行動する人。何事にも当たって砕けろの精神で突き進みます。考える前に行動に出るので、失敗も多いですが、深く落ち込まないうえ、１か所に留まることも苦手なのですぐに前進します。
感情をコントロールするのが苦手で、衝動にかられたり爆発したりと落ち着きません。認めてほしい願望が心の奥底にあり、それが叶わないと欲求不満になりがちです。平凡な人生を嫌い、あえて新たな冒険に出るなどして、人生を有意義に送ろうとするでしょう。"
1,1,"温厚な堅実派；
感覚的な快楽と物質的な満足を求めるため、健全な生活と豊かな環境を求めます。地に足がついた生活を好み、側にいるだけで安心するような、温厚で愛情深い人です。
人付き合いはいいですが、必要ならばいつでも境界線を引けるタイプ。のんびりしていて隙があるように思われますが、内面はなかなか頑固です。いったん敵に回すと、それまでの印象は一変するでしょう。
物質的には困ることがなく、土地や不動産などの資産にも恵まれます。"
1,2,"サービス精神旺盛な情報収集家；
月の表す感情面に双子座のスピード感と変化がもたらされます。愛想がよくて、サービス精神も旺盛です。絶えず情報を求め、それを整理し、自由も得ようとします。
また、言葉遊びが得意で、周囲を楽しませることも得意です。移り気で落ち着きがなく、安定性に欠けます。同時に2つのことをこなすこともありますが、それは一番ノッている証です。人生そのものも変化に富んでいるのが特徴です。
生活では移動が多く、乗り物とも縁があります。"
1,3,"ナイーブな気分屋；
月は蟹座の守護星なので、月の特徴がより強く表れます。感受性が豊かで、人の気持ちに敏感です。喜びも悲しみもまともに受け止めることになるので、精神的に疲弊しがち。人に必要とされることを求め、心を操り、母親像を演じながら、人と親密になろうとします。
また、月の満ち欠けのごとく感情が移ろいやすいのも特徴。繊細で心配性ですが、それがいきすぎて感情的になることも。
男性は母性的な女性に惹かれ、女性は母親との関係が複雑になりやすい傾向があります。"
1,4,"気前のいいタレント；
この配置の人は「特別な人として認められたい」という心の欲求が強くなります。それは生半可ではなく、脚光を独り占めしないと気が済みません。反面、無意識に自分を他人と比較しています。自分が優れていると認めることで、心の底の不安を消そうとしているのです。
贅沢を好み、気前もいいのですが、子どもっぽく、注目を集められないとひねくれます。とはいえ、周囲を楽しませるのも大好き。大勢の人前に出ることでイキイキとし、芸能界にも縁があります。"
1,5,"ルーティーン好きな観察者；
""完璧な人でありたい""と願い、他人からの自分の評価もとても気になる人です。対人関係では引っ込み思案なところがあります。相手を評価するため、口を開かない代わりに、しっかりと観察します。ひとたび心を許したら、誠実なパートナーになるでしょう。
秩序ある生活の中にいることで心地よさを感じ、清潔で整頓されている環境の中では落ち着きます。事務的なルーティーンワークも得意。
健康面に興味が深く、身体の管理もまめなタイプです。"
1,6,"おしゃれなネゴシエーター；
天秤座の守護星である金星の要素が表れ、美と調和を重視する性格になります。自分以外の人に対する関心が強く、平和を求めるがゆえに苦手な人に対しても愛想よくしてしまう、八方美人なところがあります。他人を喜ばせて期待に応えようとする欲求が強いからです。社交的で礼儀正しく、交渉ごとも得意。誰とでもすぐに友達になれるタイプです。
人生もバランスよく生きたいと考えるため、インテリアやファッションなどでも美的センスを発揮できるでしょう。"
1,7,"寡黙な情熱家；
煮えたぎるほどの熱い情熱や感情を持ちながら、そこに蓋をしてしまうタイプ。そのため、「何を考えているかわからない」と思われてしまうことが。プライドが高いのも特徴。忠誠心が強く、その分、周りの人にも誠実さを求めます。真心を感じられないと不安になり、怒りをぶつけることも。
男性の場合、女性に対して皮肉っぽい態度をとりがちです。女性の場合、母親との苦い思い出があることが多く、基本的に自分以外の女性をあまり信用しないでしょう。"
1,8,"マイペースでポジティブ；
陽気でポジティブ。飾り気がなく率直なタイプです。反面、素直すぎて歯に衣着せぬ物言いになることが。冒険心や探究心も強いため、考えるよりも先に行動に出ます。基本的に大らかで、細かい気遣いや感情表現は苦手。粗野な印象を与えがちです。
知識や高等学問に関心が高く、読書をはじめ専門分野の勉強にも熱心です。
縛られるのが苦手で、自由を求めます。１か所に留まろうとしないため、旅行や転居も多く、遠出も多くなることでしょう。"
1,9,"控えめな堅実派；
月本来の豊かな感情表現が抑圧される位置です。自分の殻の中に閉じこもり、感情を抑えてしまうタイプ。それは、幼少期に喜怒哀楽を自由に表現できない環境にいたという要因からかもしれません。厳しい人に見えますが、愛情深い一面も。
規則正しく生きることを求め、身の回りのすべてを把握したいと考えるため、仕切り屋になる傾向も。加えて、慎重で危ない橋を渡らないのは、何より安定を求めるがゆえ。金銭面でも冒険はせず、計算高く取り組むタイプです。"
1,10,"クールな変人；
落ち着きがあり、クールなタイプ。感情の浮き沈みが少なく、柔和で懸命な判断をします。物事を直感的に理解する反面、他人の感情に疎くなりがちで、どこか他人とは距離を置くという印象を持たれるでしょう。
気さくでオープンですが、突然どこかに消えたり落ち着きを失ったりと、予期せぬ行動に出ることがあるため、変わり者扱いされがちです。
特定の人と深く関わるのは苦手ですが、個人の自由を大切にしながら、仲間や同士と集まるのが大好きです。"
1,11,"デリケートな人情派；
感受性が強く、とてもデリケート。困っている人を助けたいという欲求が強く、同情的なので、嫌だと感じたときにもノーと言えず、流されてしまいやすいタイプです。
夢見がちで、魔法のように願いを叶えてもらえることを望みます。それでも、その想像力を活かせば、芸術方面で活躍できるでしょう。
また、公私の境界線が曖昧になり、あらゆることに影響されて混乱しがち。不注意からのミスや怪我も多いので気をつけましょう。"
2,0,"せっかちなパイオニア；
頭の回転が速く、機知に富んだタイプ。ウィットに富んでいますが、話し方はせっかちで歯に衣着せないので、さらっと皮肉を飛ばすことも。
開拓精神が旺盛で、ゼロから新しいことを考え出すのが得意です。前代未聞のことをやってのけることもしばしば。そんな大業も、努力を重ねた結果ではなく、一夜漬けでこなしてしまうのが特徴。直感的思考が得意で、何事も短期決戦で勝つのがこのタイプの強みです。企画、広告、マスコミなどで実力を発揮できるでしょう。"
2,1,"友好的ながら頑固；
ちゃう実で現実的な考え方をするタイプ。知性の働きは敏感ではなく、事実を理解するのに時間がかかるほうです。
友好的で社交性もあり、温和な印象を与えます。意外に頑固な面もあり、実際に見たり聞いたりしたことでないと頭に響かず、許容しにくいのです。その代わり、いったん確信を得たら、長く続けることができるという強みがあります。
優れた五感を活かし、職人などの専門家として活躍できます。牡牛座は「喉」を担うため、美声の持ち主も多いです。"
2,2,"頭のキレるお笑い芸人；
水星は双子座の守護性ですから、その特徴が強く表れます。機知に富んでいて、論理的で断言的な弁舌家です。言語能力が高く観察力にも優れているので、書くことも得意です。
幅広い知識を得ようとする欲求が強く、二元的な傾向があります。そのため意見を変えることも少なくないでしょう。知的好奇心が旺盛なため、複数のことに着手し、1つを極めるのは得意ではありません。
ユーモアセンスに優れていて多面的なので、お笑い芸人としての資質も十分です。"
2,3,"過去を楽しむ繊細な人；
情の深い蟹座と、知性を担う水星は真逆の性質です。それゆえこの配置の人は、感情抜きで思考するのが苦手で、客観的な判断は難しいかもしれません。
防衛本能が強く、自分の考えや信念を守ろうとするタイプ。仲間に対する愛着が強く、相手の考えを複製することも。反面、他人の言葉に敏感で、心配性で、気難しくなりがちです。
また、記憶力と想像力に優れ夢見がちですが、未来のことには無関心で、過去への愛着が深いでしょう。家庭生活や不動産に関する職業が合います。"
2,4,"ワンマンでドラマチック；
知性の働きが自己中心的になりやすい配置です。自分のことを伝えるのは積極的ですが、他人の意見には無関心で、簡単には受け入れない傾向も。
話し方や表現力に演出が加わるため、ドラマチック気味。自惚れも混ざります。心は広いのですが、命令が多く傲慢な印象を与えがちなので、謙虚さを意識するといいでしょう。
創造力に優れ、芸術や演劇方面で活躍も。また、子どもの精神発達に関心があり、長所を引き出すのも得意です。教師としても能力を発揮できます。"
2,5,"口うるさい頭脳派；
水星は乙女座の守護性ですから、その意味合いは強くなり、水星本来の力を発揮します。
優れた学習能力を持ち、記憶力も抜群。長期に渡る難しい研究にも向いています。また、物事を分類・整理するのが得意で、統計的な判断や分析した結果を重視する傾向が。口うるさくて批判的な面もありますが、呑み込みも早く、焦点のあった答えを引き出すことができます。
健康に興味を持ち、衛生学や食餌療法を実践し、健康を保とうとするタイプ。秘書やセラピストなどで才を輝かせます。
"
2,6,"穏やかな外交家；
上品な話し方や態度が魅力的な人。持ち前のバランス感覚で、問題を両面から見ることができます。また、他人の考えを聞いて参考にできるので、知的共同作業にも向いています。
自制心があり、話し方はゆっくりと穏やかなので、激情に走ることはありません。反面、深く考えることが苦手で優柔不断なので、解決を先延ばしにする傾向があります。
人との距離感が絶妙で外交手腕に優れるので、交渉を必要とする外交や営業、裁判関連などで活躍できるでしょう。"
